,time,La,Lo,Dep,Mw,Location
66,2020-10-31 12:47:31.850,37.8112,26.9097,7.0,3.2,8.4 km NW of Samos
67,2020-10-31 14:41:25.140,37.9736,26.4232,1.0,3.0,48.9 km NNE of Ikaria
68,2020-10-31 14:42:43.410,37.8699,26.4784,10.0,4.1,42.0 km NE of Ikaria
69,2020-10-31 14:53:06.290,37.8026,26.3808,3.0,3.0,30.8 km NE of Ikaria
70,2020-10-31 15:49:12.180,37.8854,26.4562,6.0,3.0,42.1 km NE of Ikaria
71,2020-10-31 16:06:13.580,37.8897,26.6692,8.0,3.6,30.8 km WNW of Samos
72,2020-10-31 17:45:11.090,37.8264,27.0513,2.0,3.6,10.1 km NE of Samos
73,2020-10-31 17:56:25.240,37.9312,26.545,2.0,3.2,42.6 km WNW of Samos
74,2020-10-31 19:04:40.390,37.849,26.9864,6.0,3.1,10.2 km N of Samos
75,2020-10-31 19:17:18.310,37.8656,26.4539,9.0,3.4,40.3 km NE of Ikaria
76,2020-10-31 19:31:30.960,37.7753,27.0427,5.0,3.7,6.1 km ENE of Samos
77,2020-10-31 19:49:07.960,37.7692,27.0387,5.0,3.5,5.6 km ENE of Samos
78,2020-10-31 20:07:04.390,37.8245,26.8302,5.0,3.0,14.9 km WNW of Samos
79,2020-10-31 20:10:10.430,37.7599,27.0023,4.0,3.5,2.3 km E of Samos
80,2020-10-31 20:12:47.810,37.701,26.8935,20.0,3.4,9.6 km SW of Samos
81,2020-10-31 20:28:16.910,37.8242,26.4107,3.0,3.0,34.3 km NE of Ikaria
82,2020-10-31 20:37:50.900,37.7592,27.0115,5.0,3.3,3.0 km E of Samos
83,2020-10-31 21:09:05.000,37.8752,26.238,24.0,2.8,33.1 km N of Ikaria
84,2020-10-31 21:40:57.520,37.8842,26.4432,14.0,3.0,41.4 km NE of Ikaria
85,2020-10-31 21:43:24.090,37.8013,26.678,6.0,3.0,26.7 km W of Samos
86,2020-10-31 22:01:10.890,37.8065,26.8321,15.0,3.2,13.9 km WNW of Samos
87,2020-10-31 22:05:43.050,37.8457,26.8705,10.0,3.5,13.6 km NW of Samos
88,2020-10-31 22:13:16.690,37.8602,26.8878,11.0,3.4,13.9 km NW of Samos
89,2020-10-31 22:25:56.340,37.8972,27.0518,2.0,3.6,16.9 km NNE of Samos
90,2020-10-31 23:14:32.990,37.8679,26.453,9.0,3.6,40.4 km NE of Ikaria
91,2020-11-01 00:38:28.390,37.8727,26.9297,15.0,3.2,13.5 km NNW of Samos
92,2020-11-01 01:37:19.750,37.7998,26.6803,7.0,3.0,26.5 km W of Samos
93,2020-11-01 01:48:16.450,37.7482,27.0467,6.0,3.2,6.2 km E of Samos
94,2020-11-01 02:21:09.310,37.8659,26.4451,11.0,3.6,39.8 km NE of Ikaria
95,2020-11-01 02:24:53.430,37.8613,26.4143,8.0,3.7,37.8 km NE of Ikaria
96,2020-11-01 02:39:40.640,37.8445,26.7152,16.0,3.2,25.0 km WNW of Samos
97,2020-11-01 03:24:55.500,37.8497,26.4158,11.0,3.0,36.8 km NE of Ikaria
98,2020-11-01 04:53:15.910,37.839,26.4598,8.0,3.6,38.4 km NE of Ikaria
99,2020-11-01 05:27:06.590,37.8111,26.6908,16.0,3.7,25.8 km WNW of Samos
100,2020-11-01 05:39:54.030,37.8909,26.5177,2.0,2.8,43.0 km WNW of Samos
101,2020-11-01 06:07:28.530,37.7711,26.9343,10.0,3.6,4.1 km WNW of Samos
102,2020-11-01 07:05:12.990,37.8377,26.9887,9.0,4.3,9.0 km N of Samos
103,2020-11-01 07:33:08.120,37.8028,26.8489,10.0,4.3,12.3 km WNW of Samos
104,2020-11-01 08:33:13.800,37.8842,26.8603,6.0,3.8,17.4 km NW of Samos
105,2020-11-01 11:08:04.200,37.767,26.7423,14.0,3.3,20.7 km W of Samos
106,2020-11-01 12:09:15.560,37.8493,26.6257,4.0,2.6,32.5 km WNW of Samos
107,2020-11-01 12:12:07.330,37.9123,26.4013,3.0,3.0,42.0 km NNE of Ikaria
108,2020-11-01 12:57:02.920,37.8315,26.8168,10.0,3.7,16.3 km WNW of Samos
109,2020-11-01 13:18:02.610,37.9151,26.8547,1.0,3.6,20.6 km NNW of Samos
110,2020-11-01 16:33:44.840,37.7621,26.867,15.0,3.0,9.7 km W of Samos
111,2020-11-01 18:05:04.560,38.0286,26.207,10.0,3.0,38.2 km S of Chios
112,2020-11-01 20:53:41.530,38.002,27.1556,6.0,3.0,31.4 km NNE of Samos
113,2020-11-01 22:01:02.710,37.8032,26.5023,12.0,2.7,38.3 km NE of Ikaria
114,2020-11-01 22:33:43.090,37.876,26.6388,13.0,3.0,32.5 km WNW of Samos
115,2020-11-01 23:26:34.150,38.0317,26.1816,10.0,2.7,37.6 km S of Chios
116,2020-11-02 00:50:58.290,37.8717,26.7292,15.0,3.0,25.2 km WNW of Samos
117,2020-11-02 01:20:36.960,37.8505,26.7045,19.0,3.2,26.1 km WNW of Samos
118,2020-11-02 02:49:32.210,37.7098,26.344,24.0,2.8,21.0 km NE of Ikaria
119,2020-11-02 03:14:09.170,37.8182,26.6325,3.0,2.7,31.0 km WNW of Samos
